Characteristic,Sex,Race/Ethnicity,Age,Year,Percentage,Standard Error on Percentage,Note on Percentages
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2008,10.6,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2009,11.6,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2010,12.2,0.5,Implementation of Census 2010-based population controls.
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2011,12.6,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2012,11.9,0.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2002,33,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2003,34,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2004,34.1,1.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2005,34.1,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2006,33.8,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2007,34.5,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2008,35.2,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2009,35.9,1.5,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2010,39.2,1.6,Implementation of Census 2010-based population controls.
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2011,38,1.6,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2012,37.7,1.6,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2002,11.8,2,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2003,12.8,2.1,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2004,9,1.7,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2005,11.7,2,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2006,12,1.9,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2007,13.1,2,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2008,14.8,2.1,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2009,13.3,1.9,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2010,14.6,2,Implementation of Census 2010-based population controls.
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2011,12.9,1.9,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2012,11.9,1.8,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2002,18.4,2.5,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2003,18.4,2.5,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2004,19.4,2.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2005,17.7,2.4,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2006,22.3,2.6,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2007,19.5,2.5,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2008,20,2.4,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2009,26.1,2.4,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2010,25.4,2.4,Implementation of Census 2010-based population controls.
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2011,25,2.3,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2012,26.5,2.3,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2002,28.5,1.3,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2003,29.9,1.3,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2004,29.4,1.2,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2005,28.3,1.2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2006,26.6,1.2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2007,28.4,1.2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2008,29.9,1.2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2009,32.1,1.2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2010,35.9,1.2,Implementation of Census 2010-based population controls.
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2011,33.1,1.1,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2012,33.2,1.1,
"Total - Male, Age 6–17",Male,,6–17,2002,18.9,0.8,
"Total - Male, Age 6–17",Male,,6–17,2003,20.1,0.8,
"Total - Male, Age 6–17",Male,,6–17,2004,20.5,0.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Age 6–17",Male,,6–17,2005,20.2,0.8,
"Total - Male, Age 6–17",Male,,6–17,2006,20.1,0.8,
"Total - Male, Age 6–17",Male,,6–17,2007,21.3,0.8,
"Total - Male, Age 6–17",Male,,6–17,2008,21.4,0.8,
"Total - Male, Age 6–17",Male,,6–17,2009,24.5,0.9,
"Total - Male, Age 6–17",Male,,6–17,2010,26.5,0.9,Implementation of Census 2010-based population controls.
"Total - Male, Age 6–17",Male,,6–17,2011,25.1,0.9,
"Total - Male, Age 6–17",Male,,6–17,2012,24.6,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2002,11.4,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2003,11.6,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2004,12.5,0.9,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2005,11.7,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2006,11.9,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2007,11.8,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2008,12.2,0.9,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2009,14.8,1,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2010,14.5,1,Implementation of Census 2010-based population controls.
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2011,15.4,1.1,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2012,14.5,1,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2002,38.2,2.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2003,39.7,2.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2004,38.2,2.7,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2005,36.7,2.6,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2006,39.7,2.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2007,41.2,2.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2008,39.4,2.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2009,42.4,2.8,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2010,47.6,2.8,Implementation of Census 2010-based population controls.
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2011,42.6,2.8,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2012,41.4,2.8,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2002,7.6,2.9,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2003,8.3,3,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2004,8,2.9,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2005,11.1,3.3,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2006,7.5,2.7,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2007,10,3,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2008,14.9,3.6,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2009,13.3,3.3,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2010,16.6,3.7,Implementation of Census 2010-based population controls.
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2011,12.2,3.1,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2012,9.1,2.8,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2002,19.7,4.4,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2003,20.5,4.5,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2004,22.4,4.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2005,21.7,4.5,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2006,25.3,4.6,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2007,20.2,4.2,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2008,21.2,3.9,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2009,32.4,4.1,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2010,31.8,4,Implementation of Census 2010-based population controls.
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2011,30,3.8,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2012,30.9,3.9,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2002,28.6,2.1,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2003,32.4,2.1,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2004,31.4,2.1,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2005,32.1,2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2006,29.2,1.9,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2007,32.9,2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2008,31.9,1.9,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2009,35.2,2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2010,39.3,2,Implementation of Census 2010-based population controls.
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2011,35.9,2,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2012,36.3,2,
"Total - Male, Age 6–17",Male,,6–17,2002,15.8,0.5,
"Total - Male, Age 6–17",Male,,6–17,2003,16.5,0.5,
"Total - Male, Age 6–17",Male,,6–17,2004,16.5,0.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Age 6–17",Male,,6–17,2005,16,0.5,
"Total - Male, Age 6–17",Male,,6–17,2006,15.8,0.5,
"Total - Male, Age 6–17",Male,,6–17,2007,16.2,0.5,
"Total - Male, Age 6–17",Male,,6–17,2008,17.5,0.6,
"Total - Male, Age 6–17",Male,,6–17,2009,18.5,0.6,
"Total - Male, Age 6–17",Male,,6–17,2010,20.1,0.6,Implementation of Census 2010-based population controls.
"Total - Male, Age 6–17",Male,,6–17,2011,19.9,0.6,
"Total - Male, Age 6–17",Male,,6–17,2012,19.8,0.6,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2002,8.7,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2003,9.3,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2004,9.5,0.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2005,8.9,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2006,8.8,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2007,9.2,0.5,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2008,9.9,0.6,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2009,10.2,0.6,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2010,11.1,0.6,Implementation of Census 2010-based population controls.
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2011,11.3,0.6,
"Total - Male, White alone, non-Hispanic, Age 6–17",Male,"White alone, non-Hispanic",6–17,2012,10.8,0.6,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2002,30.6,1.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2003,31.4,1.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2004,32.1,1.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2005,32.9,1.8,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2006,31,1.7,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2007,31.2,1.8,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2008,33.1,1.8,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2009,33,1.8,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2010,35.2,1.9,Implementation of Census 2010-based population controls.
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2011,35.7,1.9,
"Total - Male, Black or African American alone, non-Hispanic, Age 6–17",Male,"Black or African American alone, non-Hispanic",6–17,2012,35.9,1.9,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2002,13.9,2.6,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2003,15.1,2.7,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2004,9.5,2.2,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2005,12,2.4,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2006,14.4,2.6,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2007,14.8,2.6,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2008,14.7,2.6,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2009,13.2,2.4,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2010,13.6,2.4,Implementation of Census 2010-based population controls.
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2011,13.3,2.3,
"Total - Male, Asian alone, non-Hispanic, Age 6–17",Male,"Asian alone, non-Hispanic",6–17,2012,13.3,2.3,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2002,17.7,3.1,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2003,17.3,3,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2004,17.7,3.1,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2005,15.7,2.9,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2006,20.7,3.2,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2007,19.1,3.1,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2008,19.2,3,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2009,22.3,2.9,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2010,21.3,2.8,Implementation of Census 2010-based population controls.
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2011,21.7,2.8,
"Total - Male, Other, non-Hispanic, Age 6–17",Male,"Other, non-Hispanic",6–17,2012,23.8,2.9,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2002,28.4,1.6,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2003,28.6,1.6,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2004,28.2,1.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2005,26.1,1.5,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2006,25.1,1.4,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2007,25.7,1.4,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2008,28.6,1.5,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2009,30.3,1.4,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2010,34,1.4,Implementation of Census 2010-based population controls.
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2011,31.6,1.4,
"Total - Male, Hispanic , Age 6–17",Male,Hispanic,6–17,2012,31.6,1.4,
"Total - Female, Age 0-17",Female,,0-17,2002,16.6,0.5,
"Total - Female, Age 0-17",Female,,0-17,2003,17.6,0.5,
"Total - Female, Age 0-17",Female,,0-17,2004,17.8,0.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Age 0-17",Female,,0-17,2005,17.8,0.5,
"Total - Female, Age 0-17",Female,,0-17,2006,17.6,0.5,
"Total - Female, Age 0-17",Female,,0-17,2007,18.1,0.5,
"Total - Female, Age 0-17",Female,,0-17,2008,19.2,0.5,
"Total - Female, Age 0-17",Female,,0-17,2009,21.1,0.5,
"Total - Female, Age 0-17",Female,,0-17,2010,21.9,0.5,Implementation of Census 2010-based population controls.
"Total - Female, Age 0-17",Female,,0-17,2011,22.2,0.5,
"Total - Female, Age 0-17",Female,,0-17,2012,22.3,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2002,9.2,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2003,9.6,0.5,
