Characteristic,Sex,Race/Ethnicity,Age,Year,Percentage,Standard Error on Percentage,Note on Percentages
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2004,10.6,0.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2005,10.2,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2006,10.2,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2007,10.2,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2008,10.5,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2009,12,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2010,12.5,0.5,Implementation of Census 2010-based population controls.
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2011,12.3,0.5,
"Total - Female, White alone, non-Hispanic, Age 0-17",Female,"White alone, non-Hispanic",0-17,2012,12.8,0.6,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2002,31.5,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2003,34,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2004,33.3,1.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2005,34.9,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2006,32.9,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2007,34.2,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2008,34.3,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2009,35.2,1.5,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2010,39,1.6,Implementation of Census 2010-based population controls.
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2011,39.7,1.6,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-17",Female,"Black or African American alone, non-Hispanic",0-17,2012,39.1,1.6,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2002,11.6,2,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2003,11.4,2,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2004,10.4,1.9,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2005,10.6,1.9,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2006,11.7,2,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2007,12.2,2,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2008,14.2,2.1,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2009,15.1,2,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2010,13.5,1.9,Implementation of Census 2010-based population controls.
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2011,13.7,1.9,
"Total - Female, Asian alone, non-Hispanic, Age 0-17",Female,"Asian alone, non-Hispanic",0-17,2012,14.3,1.9,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2002,19.6,2.6,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2003,22.9,2.8,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2004,22,2.7,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2005,20.2,2.6,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2006,22.5,2.7,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2007,18.7,2.5,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2008,21.3,2.5,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2009,25.9,2.4,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2010,25.3,2.4,Implementation of Census 2010-based population controls.
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2011,24,2.3,
"Total - Female, Other, non-Hispanic, Age 0-17",Female,"Other, non-Hispanic",0-17,2012,25.5,2.3,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2002,28.8,1.3,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2003,29.4,1.3,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2004,28.4,1.2,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2005,28.2,1.2,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2006,27.2,1.2,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2007,28.9,1.2,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2008,31.4,1.2,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2009,33.5,1.2,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2010,33.8,1.2,Implementation of Census 2010-based population controls.
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2011,35.2,1.2,
"Total - Female, Hispanic , Age 0-17",Female,Hispanic,0-17,2012,34.5,1.2,
"Total - Female, Age 0-5",Female,,0-5,2002,18.6,0.8,
"Total - Female, Age 0-5",Female,,0-5,2003,20.1,0.9,
"Total - Female, Age 0-5",Female,,0-5,2004,20,0.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Age 0-5",Female,,0-5,2005,20.3,0.9,
"Total - Female, Age 0-5",Female,,0-5,2006,20.5,0.8,
"Total - Female, Age 0-5",Female,,0-5,2007,20.9,0.8,
"Total - Female, Age 0-5",Female,,0-5,2008,22,0.9,
"Total - Female, Age 0-5",Female,,0-5,2009,24,0.9,
"Total - Female, Age 0-5",Female,,0-5,2010,25.1,0.9,Implementation of Census 2010-based population controls.
"Total - Female, Age 0-5",Female,,0-5,2011,24.9,0.9,
"Total - Female, Age 0-5",Female,,0-5,2012,25,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2002,10.9,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2003,11,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2004,12,0.9,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2005,12.5,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2006,12.5,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2007,12.6,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2008,11.9,0.9,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2009,14.3,1,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2010,14.5,1,Implementation of Census 2010-based population controls.
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2011,14.3,1,
"Total - Female, White alone, non-Hispanic, Age 0-5",Female,"White alone, non-Hispanic",0-5,2012,14.2,1,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2002,35.1,2.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2003,39.2,2.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2004,36.1,2.7,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2005,38.3,2.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2006,38.3,2.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2007,39.8,2.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2008,41.3,2.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2009,39,2.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2010,44.2,2.8,Implementation of Census 2010-based population controls.
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2011,44.2,2.9,
"Total - Female, Black or African American alone, non-Hispanic, Age 0-5",Female,"Black or African American alone, non-Hispanic",0-5,2012,43.3,2.9,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2002,10.7,3.4,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2003,6.8,2.8,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2004,7.8,2.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2005,8.2,2.9,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2006,7.2,2.7,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2007,9.3,3,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2008,9.5,3,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2009,15.6,3.6,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2010,12.4,3.2,Implementation of Census 2010-based population controls.
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2011,12.3,3.2,
"Total - Female, Asian alone, non-Hispanic, Age 0-5",Female,"Asian alone, non-Hispanic",0-5,2012,14,3.4,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2002,22.2,4.6,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2003,26.4,5,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2004,24.1,4.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2005,21.2,4.5,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2006,23.2,4.7,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2007,22,4.4,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2008,24.3,4.3,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2009,30.6,4.2,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2010,29.7,4.1,Implementation of Census 2010-based population controls.
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2011,29.5,4,
"Total - Female, Other, non-Hispanic, Age 0-5",Female,"Other, non-Hispanic",0-5,2012,29.5,4,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2002,29.6,2.2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2003,32.2,2.2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2004,31.4,2.1,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2005,30.3,2.1,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2006,29.8,2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2007,30,2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2008,34,2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2009,35.6,2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2010,36.9,2,Implementation of Census 2010-based population controls.
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2011,36.6,2,
"Total - Female, Hispanic , Age 0-5",Female,Hispanic,0-5,2012,37.2,2,
"Total - Female, Age 6–17",Female,,6–17,2002,15.6,0.5,
"Total - Female, Age 6–17",Female,,6–17,2003,16.4,0.5,
"Total - Female, Age 6–17",Female,,6–17,2004,16.7,0.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Age 6–17",Female,,6–17,2005,16.6,0.6,
"Total - Female, Age 6–17",Female,,6–17,2006,16.1,0.5,
"Total - Female, Age 6–17",Female,,6–17,2007,16.7,0.6,
"Total - Female, Age 6–17",Female,,6–17,2008,17.7,0.6,
"Total - Female, Age 6–17",Female,,6–17,2009,19.6,0.6,
"Total - Female, Age 6–17",Female,,6–17,2010,20.3,0.6,Implementation of Census 2010-based population controls.
"Total - Female, Age 6–17",Female,,6–17,2011,20.9,0.6,
"Total - Female, Age 6–17",Female,,6–17,2012,21.1,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2002,8.5,0.5,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2003,9,0.5,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2004,9.9,0.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2005,9.2,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2006,9,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2007,9.1,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2008,9.9,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2009,11,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2010,11.7,0.6,Implementation of Census 2010-based population controls.
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2011,11.4,0.6,
"Total - Female, White alone, non-Hispanic, Age 6–17",Female,"White alone, non-Hispanic",6–17,2012,12.1,0.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2002,29.9,1.7,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2003,31.6,1.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2004,31.9,1.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2005,33.3,1.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2006,30.3,1.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2007,31.4,1.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2008,30.9,1.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2009,33.5,1.8,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2010,36.5,1.9,Implementation of Census 2010-based population controls.
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2011,37.5,1.9,
"Total - Female, Black or African American alone, non-Hispanic, Age 6–17",Female,"Black or African American alone, non-Hispanic",6–17,2012,37.2,1.9,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2002,12.1,2.6,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2003,13.5,2.6,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2004,11.8,2.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2005,11.9,2.5,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2006,14,2.6,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2007,13.7,2.6,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2008,16.7,2.8,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2009,14.9,2.4,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2010,14,2.4,Implementation of Census 2010-based population controls.
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2011,14.4,2.4,
"Total - Female, Asian alone, non-Hispanic, Age 6–17",Female,"Asian alone, non-Hispanic",6–17,2012,14.5,2.4,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2002,18.2,3.2,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2003,21.2,3.3,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2004,20.9,3.3,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2005,19.6,3.2,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2006,22.1,3.2,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2007,16.9,2.9,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2008,19.4,3.1,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2009,23.2,2.9,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2010,22.6,2.9,Implementation of Census 2010-based population controls.
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2011,20.4,2.8,
"Total - Female, Other, non-Hispanic, Age 6–17",Female,"Other, non-Hispanic",6–17,2012,23.2,2.8,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2002,28.3,1.6,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2003,27.9,1.6,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2004,26.7,1.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement."
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2005,27,1.5,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2006,25.6,1.5,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2007,28.2,1.5,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2008,29.7,1.5,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2009,32.3,1.5,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2010,32.1,1.5,Implementation of Census 2010-based population controls.
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2011,34.4,1.5,
"Total - Female, Hispanic , Age 6–17",Female,Hispanic,6–17,2012,33,1.4,